year,nominees,film,win
1943,Henry King,The Song of Bernadette,True
1944,Leo McCarey,Going My Way,True
1945,Billy Wilder,The Lost Weekend,True
1946,Frank Capra,It's a Wonderful Life,True
1947,Elia Kazan,Gentleman's Agreement,True
1948,John Huston,The Treasure of the Sierra Madre,True
1949,Robert Rossen,All the King's Men,True
1950,Billy Wilder,Sunset Boulevard,True
1950,Joseph L. Mankiewicz,Joseph L. Mankiewicz,False
1950,John Huston,John Huston,False
1950,George Cukor,George Cukor,False
1951,László Benedek,Death of a Salesman,True
1951,Vincente Minnelli,Vincente Minnelli,False
1951,George Stevens,George Stevens,False
1952,Cecil B. DeMille,The Greatest Show on Earth,True
1952,Richard Fleischer,Richard Fleischer,False
1952,John Ford,John Ford,False
1953,Fred Zinnemann,From Here to Eternity,True
1954,Elia Kazan,On the Waterfront,True
1955,Joshua Logan,Picnic,True
1956,Elia Kazan,Baby Doll,True
1956,Michael Anderson,Michael Anderson,False
1956,George Stevens,George Stevens,False
1956,Vincente Minnelli,Vincente Minnelli,False
1956,King Vidor,King Vidor,False
1957,David Lean,The Bridge on the River Kwai,True
1957,Sidney Lumet,Sidney Lumet,False
1957,Fred Zinnemann,Fred Zinnemann,False
1957,Joshua Logan,Joshua Logan,False
1957,Billy Wilder,Billy Wilder,False
1958,Vincente Minnelli,Gigi,True
1958,Richard Brooks,Richard Brooks,False
1958,Stanley Kramer,Stanley Kramer,False
1958,Robert Wise,Robert Wise,False
1958,Delbert Mann,Delbert Mann,False
1959,William Wyler,Ben-Hur,True
1959,Otto Preminger,Otto Preminger,False
1959,George Stevens,George Stevens,False
1959,Fred Zinnemann,Fred Zinnemann,False
1959,Stanley Kramer,Stanley Kramer,False
1960,Jack Cardiff,Sons and Lovers,True
1960,Billy Wilder,Billy Wilder,False
1960,Richard Brooks,Richard Brooks,False
1960,Stanley Kubrick,Stanley Kubrick,False
1960,Fred Zinnemann,Fred Zinnemann,False
1961,Stanley Kramer,Judgment at Nuremberg,True
1961,William Wyler,William Wyler,False
1961,Anthony Mann,Anthony Mann,False
1961,J. Lee Thompson,J. Lee Thompson,False
1961,Jerome Robbins,Jerome Robbins,False
1962,David Lean,Lawrence of Arabia,True
1962,George Cukor,George Cukor,False
1962,Blake Edwards,Blake Edwards,False
1962,John Huston,John Huston,False
1962,Mervyn LeRoy,Mervyn LeRoy,False
1962,Martin Ritt,Martin Ritt,False
1962,Stanley Kubrick,Stanley Kubrick,False
1962,John Frankenheimer,John Frankenheimer,False
1962,Morton DaCosta,Morton DaCosta,False
1962,Ismael Rodríguez,Ismael Rodríguez,False
1962,Robert Mulligan,Robert Mulligan,False
