year,actor,character,film,win
1950,Fred Astaire,Bert Kalmar,Three Little Words,True
1951,Danny Kaye,Jack Martin / Henri Duran,On the Riviera,True
1951,Gene Kelly,Jerry Mulligan,An American in Paris,False
1952,Donald O'Connor,Cosmo Brown,Singin' in the Rain,True
1953,David Niven,David Slater,The Moon Is Blue,True
1954,James Mason,Norman Maine,A Star Is Born,True
1955,Tom Ewell,Richard Sherman,The Seven Year Itch,True
1956,Cantinflas,Passepartout,Around the World in 80 Days,True
1956,Marlon Brando,Sakini,The Teahouse of the August Moon,False
1956,Yul Brynner,King Mongkut of Siam,The King and I,False
1956,Glenn Ford,Captain Fisby,The Teahouse of the August Moon,False
1956,Danny Kaye,Hubert Hawkins,The Court Jester,False
1957,Frank Sinatra,Joey Evans,Pal Joey,True
1957,Maurice Chevalier,Claude Chavasse,Love in the Afternoon,False
1957,Glenn Ford,Lt. J. G. Max Siegel,Don't Go Near the Water,False
1957,David Niven,Godfrey Smith,My Man Godfrey,False
1957,Tony Randall,Rockwell P. Hunter,Will Success Spoil Rock Hunter?,False
1958,Danny Kaye,S. L. Jacobowsky,Me and the Colonel,True
1958,Maurice Chevalier,Honoré Lachaille,Gigi,False
1958,Clark Gable,James Gannon,Teacher's Pet,False
1958,Cary Grant,Philip Adams,Indiscreet,False
1958,Louis Jourdan,Gaston Lachaille,Gigi,False
1959,Jack Lemmon,Jerry / Daphne,Some Like It Hot,True
1959,Clark Gable,Russell Ward,But Not for Me,False
1959,Cary Grant,Lt. Cmdr. Matt T. Sherman,Operation Petticoat,False
1959,Dean Martin,Michael Haney,Who Was That Lady?,False
1959,Sidney Poitier,Porgy,Porgy and Bess,False
1960,Jack Lemmon,C. C. Baxter,The Apartment,True
1960,Dirk Bogarde,Franz Liszt,Song Without End,False
1960,Cantinflas,Pepe,Pepe,False
1960,Cary Grant,"Victor, Earl of Rhyall",The Grass Is Greener,False
1960,Bob Hope,Larry Gilbert,The Facts of Life,False
1961,Glenn Ford,"Dave, the Dude",Pocketful of Miracles,True
1961,Fred Astaire,Pogo Poole,The Pleasure of His Company,False
1961,Richard Beymer,Tony,West Side Story,False
1961,Bob Hope,Adam Niles,Bachelor in Paradise,False
1961,Fred MacMurray,Ned Brainard,The Absent-Minded Professor,False
1962,Marcello Mastroianni,Ferdinando Cefalù,Divorce Italian Style,True
1962,Stephen Boyd,Sam Rawlins,Billy Rose's Jumbo,False
1962,Jimmy Durante,Anthony Wonder / Pop,Billy Rose's Jumbo,False
1962,Cary Grant,Philip Shayne,That Touch of Mink,False
Charlton Heston,Captain Paul MacDougall /,Benny the Snatch / Narrator,The Pigeon That Took Rome,True
Charlton Heston,Karl Malden,Herbie Sommers,Gypsy,False
Charlton Heston,Robert Preston,Harold Hill,The Music Man,False
Charlton Heston,James Stewart,Roger Hobbs,Mr. Hobbs Takes a Vacation,False
1963,Alberto Sordi,Amedeo Ferretti,To Bed or Not to Bed,True
1963,Albert Finney,Tom Jones,Tom Jones,False
1963,James Garner,Henry Tyroon,The Wheeler Dealers,False
1963,Cary Grant,Brian Cruikshank,Charade,False
1963,Jack Lemmon,Nestor Paptu / Lord X,Irma la Douce,False
1963,Mr. Hogan,Under the Yum Yum Tree,Irma la Douce,False
1963,Frank Sinatra,Alan Barker,Come Blow Your Horn,False
1963,Jonathan Winters,Lennie Pike,"It's a Mad, Mad, Mad, Mad World",False
1964,Rex Harrison,Henry Higgins,My Fair Lady,True
1964,Marcello Mastroianni,Domenico Soriano,Marriage Italian-Style,False
1964,Peter Sellers,Inspector Jacques Clouseau,The Pink Panther,False
1964,Peter Ustinov,Arthur Simpson,Topkapi,False
1964,Dick Van Dyke,"Bert / Mr. Dawes, Sr.",Mary Poppins,False
1965,Lee Marvin,Kid Shelleen / Tim Strawn,Cat Ballou,True
1965,Jack Lemmon,Professor Fate / Prince Hapnick,The Great Race,False
1965,Jerry Lewis,Robert Reed,Boeing Boeing,False
1965,Jason Robards,Murray Burns,A Thousand Clowns,False
1965,Alberto Sordi,Count Emilio Ponticelli,Those Magnificent Men in their Flying Machines,False
1966,Alan Arkin,Lt. Yuri Rozanov,"The Russians Are Coming, the Russians Are Coming",True
1966,Alan Bates,Jos Jones,Georgy Girl,False
1966,Michael Caine,Harry Dean,Gambit,False
1966,Lionel Jeffries,Stanley Farquhar,The Spy with a Cold Nose,False
1966,Walter Matthau,Willie Gingrich,The Fortune Cookie,False
1967,Richard Harris,King Arthur,Camelot,True
1967,Richard Burton,Petruchio,The Taming of the Shrew,False
1967,Rex Harrison,Doctor John Dolittle,Doctor Dolittle,False
1967,Dustin Hoffman,Benjamin Braddock,The Graduate,False
1967,Ugo Tognazzi,Sergio Masini,L'immorale,False
1968,Ron Moody,Fagin,Oliver!,True
1968,Fred Astaire,Finian McLonergan,Finian's Rainbow,False
1968,Jack Lemmon,Felix Ungar,The Odd Couple,False
1968,Walter Matthau,Oscar Madison,The Odd Couple,False
1968,Zero Mostel,Max Bialystock,The Producers,False
1969,Peter O'Toole,Arthur Chipping,"Goodbye, Mr. Chips",True
1969,Dustin Hoffman,John,John and Mary,False
1969,Lee Marvin,Ben Rumson,Paint Your Wagon,False
1969,Steve McQueen,Boon Hogganbeck,The Reivers,False
1969,Anthony Quinn,Italo Bombolini,The Secret of Santa Vittoria,False
1970,Albert Finney,Ebenezer Scrooge,Scrooge,True
1970,Richard Benjamin,Jonathan Balser,Diary of a Mad Housewife,False
1970,Elliott Gould,"Captain John ""Trapper"" McIntyre",M*A*S*H,False
1970,Jack Lemmon,George Kellerman,The Out-of-Towners,False
1970,Donald Sutherland,"Captain Benjamin ""Hawkeye"" Pierce",M*A*S*H,False
1971,Topol,Tevye,Fiddler on the Roof,True
1971,Bud Cort,Harold Chasen,Harold and Maude,False
1971,Dean Jones,Professor Dooley,The Million Dollar Duck,False
1971,Walter Matthau,Joseph P. Kotcher,Kotch,False
1971,Gene Wilder,Willy Wonka,Willy Wonka & the Chocolate Factory,False
1972,Jack Lemmon,Wendell Armbruster,Avanti!,True
1972,Edward Albert,Don Baker,Butterflies Are Free,False
1972,Charles Grodin,Lenny Cantrow,The Heartbreak Kid,False
1972,Walter Matthau,Pete,Pete 'n' Tillie,False
Peter O'Toole,Don Quixote de la Mancha /,Miguel de Cervantes,Man of La Mancha,True
1973,George Segal,Steve Blackburn,A Touch of Class,True
1973,Carl Anderson,Judas Iscariot,Jesus Christ Superstar,False
1973,Richard Dreyfuss,Curt Henderson,American Graffiti,False
1973,Ted Neeley,Jesus Christ,Jesus Christ Superstar,False
1973,Ryan O'Neal,Moses Pray,Paper Moon,False
1974,Art Carney,Harry Coombes,Harry and Tonto,True
1974,James Earl Jones,Rupert Marshall,Claudine,False
1974,Jack Lemmon,Hildy Johnson,The Front Page,False
1974,Walter Matthau,Walter Burns,The Front Page,False
1974,Burt Reynolds,"Paul ""Wrecking"" Crewe",The Longest Yard,False
1975,George Burns,Al Lewis,The Sunshine Boys,True
1975,Walter Matthau,Willy Clark,The Longest Yard,False
1975,Warren Beatty,George Roundy,Shampoo,False
1975,James Caan,Billy Rose,Funny Lady,False
1975,Peter Sellers,Inspector Jacques Clouseau,The Return of the Pink Panther,False
1976,Kris Kristofferson,John Howard,A Star Is Born,True
1976,Mel Brooks,Mel Funn,Silent Movie,False
1976,Peter Sellers,Inspector Jacques Clouseau,The Pink Panther Strikes Again,False
1976,Jack Weston,Gaetano Proclo,The Ritz,False
1976,Gene Wilder,George Caldwell,Silver Streak,False
1977,Richard Dreyfuss,Elliott Garfield,The Goodbye Girl,True
1977,Woody Allen,Alvy Singer,Annie Hall,False
1977,Mel Brooks,Dr. Richard H. Thorndyke,High Anxiety,False
1977,Robert De Niro,Jimmy Doyle,"New York, New York",False
1977,John Travolta,Tony Manero,Saturday Night Fever,False
1978,Warren Beatty,Joe Pendleton,Heaven Can Wait,True
1978,Alan Alda,George,"Same Time, Next Year",False
1978,Gary Busey,Buddy Holly,The Buddy Holly Story,False
1978,Chevy Chase,Detective Tony Carlson,Foul Play,False
1978,George C. Scott,Gloves Malloy / Spats Baxter,Movie Movie,False
1978,John Travolta,Danny Zuko,Grease,False
1979,Peter Sellers,Chance,Being There,True
1979,George Hamilton,Count Dracula,Love at First Bite,False
1979,Dudley Moore,George Webber,10,False
1979,Burt Reynolds,Phil Potter,Starting Over,False
1979,Roy Scheider,Joe Gideon,All That Jazz,False
1980,Ray Sharkey,Vinnie Vacarri,The Idolmaker,True
1980,Neil Diamond,Yussel Rabinovitch,The Jazz Singer,False
1980,Tommy Lee Jones,Doolittle Mooney Lynn,Coal Miner's Daughter,False
1980,Paul Le Mat,Melvin Dummar,Melvin and Howard,False
1980,Walter Matthau,Miles Kendig,Hopscotch,False
1981,Dudley Moore,Arthur Bach,Arthur,True
