id,created_date,year,category,name of actor,name of film
4d34bc89-c0b1-41e2-97a8-7f344f86f198,2022-06-21 15:14:24.210641,1929,Actor,Emil Jannings,The Way of All Flesh
be870ba2-ca1e-4e5c-9c19-39b4e6259efa,2022-06-21 15:14:24.211675,1929,Actor,Richard Barthelmess,The Patent Leather Kid
2ba19061-12f1-4144-b7d5-088712df1032,2022-06-21 15:14:24.212848,1929,Actress,Janet Gaynor,Sunrise
f8235fd4-b05d-4155-9970-253ecb3dbd38,2022-06-21 15:14:24.213496,1929,Actress,Louise Dresser,A Ship Comes In
3027c8cb-931a-4021-ac56-c118e0c2d24a,2022-06-21 15:14:24.214002,1929,Actress,Gloria Swanson,Sadie Thompson
887f80a8-75e5-4c00-a301-e4c803f92a1e,2022-06-21 15:14:24.214845,1929,Art Direction,The Dove,William Cameron Menzies
5f6eb222-5aac-40eb-9e7e-d9dc0986895c,2022-06-21 15:14:24.215370,1929,Art Direction,Tempest,William Cameron Menzies
6243122d-9357-4950-9cdf-1c449cb1d2ed,2022-06-21 15:14:24.215944,1929,Art Direction,Sunrise,Rochus Gliese
292d8856-39ba-4f46-ab4a-084a5d426a4b,2022-06-21 15:14:24.216428,1929,Art Direction,7th Heaven,Harry Oliver
166c07f1-baa3-4f14-b495-e3bd70712752,2022-06-21 15:14:24.217311,1929,Cinematography,Sunrise,Karl Struss
7c960ce9-1759-4228-951a-33d9a5e0e857,2022-06-21 15:14:24.217813,1929,Cinematography,The Devil Dancer,George Barnes
257825c4-79c8-45c7-9658-06496792ec81,2022-06-21 15:14:24.218288,1929,Cinematography,The Magic Flame,George Barnes
88b21387-973f-4847-b66b-2e714aadcfe2,2022-06-21 15:14:24.218814,1929,Cinematography,Sadie Thompson,George Barnes
9e3bbd1d-da6e-45a6-b575-7734363d8a02,2022-06-21 15:14:24.219710,1929,Directing (Comedy Picture),Two Arabian Knights,Lewis Milestone
b712ad11-6ab6-419e-bdad-394c587c9094,2022-06-21 15:14:24.220203,1929,Directing (Comedy Picture),Speedy,Ted Wilde
365a041a-c5a5-4a39-b5b7-bf96ee3f3fd0,2022-06-21 15:14:24.221002,1929,Directing (Dramatic Picture),7th Heaven,Frank Borzage
224a5e0f-7c94-44ca-8e59-ba0be9df310d,2022-06-21 15:14:24.221499,1929,Directing (Dramatic Picture),Sorrell and Son,Herbert Brenon
8403dc70-baf5-43a3-9acf-cbc7df14f132,2022-06-21 15:14:24.222071,1929,Directing (Dramatic Picture),The Crowd,King Vidor
3e655c31-0dc0-4ce6-b41c-6f5a61fdb9a1,2022-06-21 15:14:24.222907,1929,Engineering Effects,Wings,Roy Pomeroy
056c17fa-e8b0-4f46-98be-2cea2574ab36,2022-06-21 15:14:24.223741,1929,Outstanding Picture,Wings,Paramount Famous Lasky
bc6b5e06-1ef0-4d75-bb12-ba9da46c3e15,2022-06-21 15:14:24.224246,1929,Outstanding Picture,The Racket,The Caddo Company
