id,url,created_date,critic_score,audience_score,runtime,MPAA_rating,studio,theater_release_date,DVD_release_date,list_of_genres,abridged_list_of_cast,abridged_list_of_directors
3ec72878-9b5d-4b48-8498-d07dba79c215,https://www.rottentomatoes.com/m/doom_of_love,2022-06-21 17:21:05.907506,,,1h 20m,,,,"Jun 20, 2022",Drama,"Pinar Deniz, Yigit Kirazci, Musa Uzunlar, Seda Türkmen",Hilal Saral
57c09a96-864a-4a7d-8ff7-3f5895bf7fd2,https://www.rottentomatoes.com/m/harmony_2022,2022-06-21 17:21:06.147464,,,1h 11m,,Gravitas Ventures,"Jun 24, 2022 limited","Jun 24, 2022","Horror, Action","Marili Kateri, Jessica Inzeo, Mark Frazier, Pry'ce Jaymes, Jessica Gondwe, Elliott Bales",Zachary Gross
88d062af-632b-4f2d-9c60-eda3db762507,https://www.rottentomatoes.com/m/elvis,2022-06-21 17:21:06.216360,79%,,2h 39m,PG-13 (Substance Abuse|Strong Language|Smoking|Suggestive Material),Warner Bros. Pictures,"Jun 24, 2022 wide",,"Biography, Drama, Music","Austin Butler, Tom Hanks, Helen Thomson, Richard Roxburgh, Olivia DeJonge, Luke Bracey",Baz Luhrmann
942130ba-4642-47d2-84cd-39a5206f892a,https://www.rottentomatoes.com/m/apples,2022-06-21 17:21:06.254869,96%,,1h 31m,,Cohen Media Group,"Jun 24, 2022 limited",,"Comedy, Drama","Aris Servetalis, Sofia Georgovassili, Anna Kalaitzidou, Argyris Bakirtzis, Kostas Laskos, Babis Makridis",Christos Nikou
8090fabb-5819-47fb-aa23-aae0a2935fcc,https://www.rottentomatoes.com/m/olga_2021,2022-06-21 17:21:06.292697,100%,,1h 27m,,Kino Lorber,"Jun 24, 2022 limited","Aug 23, 2022",Drama,"Anastasia Budiashkina, Sabrina Rubtsova, Caterina Barloggio, Thea Brogli, Tanya Mikhina, Jérôme Martin",Elie Grappe
2edd7aa6-57c7-4d45-8a63-6c76e0b831ce,https://www.rottentomatoes.com/m/the_black_phone,2022-06-21 17:21:06.340298,100%,,1h 42m,R (Some Drug Use|Language|Bloody Images|Violence),Paramount Pictures,"Jun 24, 2022 wide",,Horror,"Ethan Hawke, Mason Thames, Madeleine McGraw, Jeremy Davies, James Ransone, E. Roger Mitchell",Scott Derrickson
68457b6a-6120-4774-8cc2-3d1b972d2db0,https://www.rottentomatoes.com/m/marcel_the_shell_with_shoes_on,2022-06-21 17:21:06.367994,100%,,1h 29m,PG (Some Suggestive Material|Thematic Elements),A24,"Jun 24, 2022 limited",,"Comedy, Animation","Jenny Slate, Rosa Salazar, Thomas Mann, Isabella Rossellini, Dean Fleischer-Camp, Lesley Stahl",Dean Fleischer-Camp
4463cc2e-aaf6-488a-b6ee-db562ce17764,https://www.rottentomatoes.com/m/cryo,2022-06-21 17:21:06.531498,,,1h 58m,PG-13 (Bloody Images|Violence|Brief Strong Language),Saban Films,"Jun 24, 2022 limited","Jun 28, 2022","Mystery & thriller, Sci-fi, Drama","Jyllian Petrie, Emily Marie Palmer, Mason D. Davis, Curt Doussett, Morgan Gunter, Michael Flynn",Barrett Burgin
d8078312-657f-4498-8329-0e4d262e14a1,https://www.rottentomatoes.com/m/the_human_trial,2022-06-21 17:21:06.565795,,,1h 31m,,Abramorama,"Jun 24, 2022 limited","Jun 24, 2022",Documentary,"Lisa Hepner, Guy Mossman, Lisa Hepner, Lisa Hepner, Jonathan Formica, Kristin Lesko","Lisa Hepner , Guy Mossman"
7888de84-5168-44e2-a081-87af90608413,https://www.rottentomatoes.com/m/the_man_from_toronto_2022,2022-06-21 17:21:06.586954,,,1h 50m,PG-13 (Some Strong Language|Violence Throughout|Suggestive Material),,,"Jun 24, 2022","Action, Comedy","Kevin Hart, Woody Harrelson, Kaley Cuoco, Jasmine Mathews, Lela Loren, Pierson Fode",Patrick Hughes
7d65a666-7ac6-4c5d-a733-d9fda6c798a9,https://www.rottentomatoes.com/m/wildhood,2022-06-21 17:21:06.625513,100%,,1h 39m,,Wolfe Releasing,"Jun 17, 2022 limited","Jun 24, 2022","Drama, Lgbtq+","Phillip Lewitski, Joshua Odjick, Avery Winters-Anthony, Michael Greyeyes, Steve Lund, Savonna Spracklin",Bretten Hannam
c678768e-8894-44a4-9f18-40e306f8f9fc,https://www.rottentomatoes.com/m/murder_at_yellowstone_city,2022-06-21 17:21:06.672514,,,2h 6m,,RLJE Films,"Jun 24, 2022 limited","Jun 24, 2022",Western,"Gabriel Byrne, Thomas Jane, Isaiah Mustafa, Anna Camp, Aimee Garcia, Emma Kenney",Richard Gray
6164ee6a-0d91-4a7d-bdaa-11d4f8b725d9,https://www.rottentomatoes.com/m/press_play_2022,2022-06-21 17:21:06.721457,,,1h 25m,PG-13 (Brief Suggestive Material|Some Drug Use),The Avenue,"Jun 24, 2022 limited","Jun 24, 2022","Romance, Fantasy","Clara Rugaard, Lewis Pullman, Danny Glover, Matt Walsh, Lyrica Okano, Christina Chang",Greg Björkman
e04b86c0-71e2-4b73-915a-ee3109aafb55,https://www.rottentomatoes.com/m/fantastic_beasts_the_secrets_of_dumbledore,2022-06-21 17:21:06.818344,46%,83%,2h 22m,PG-13 (Some Fantasy Action/Violence),Warner Bros. Pictures,"Apr 15, 2022 wide","May 30, 2022","Fantasy, Adventure","Eddie Redmayne, Jude Law, Mads Mikkelsen, Ezra Miller, Dan Fogler, Alison Sudol",David Yates
aaa18f0b-02cd-4102-801f-927b4fae8f62,https://www.rottentomatoes.com/m/bitterbrush,2022-06-21 17:21:06.892081,87%,,1h 38m,,Magnolia Pictures,"Jun 17, 2022 limited","Jun 24, 2022",Documentary,"Hollyn Patterson, Colie Moline, Emelie Mahdavian, Su Kim, Emelie Mahdavian, Laurene Powell-Jobs",Emelie Mahdavian
4b91a185-6235-4d82-830f-331fef910805,https://www.rottentomatoes.com/m/flux_gourmet,2022-06-21 17:21:06.932155,89%,,1h 51m,,IFC Midnight,"Jun 24, 2022 limited","Jun 24, 2022",Horror,"Asa Butterfield, Gwendoline Christie, Ariane Labed, Richard Bremmer, Fatma Mohamed, Makis Papadimitriou",Peter Strickland
f501216d-e3ae-459b-9816-c917fc8018e0,https://www.rottentomatoes.com/m/men_2022,2022-06-21 17:21:06.987706,69%,40%,1h 40m,R (Grisly Images|Graphic Nudity|Disturbing and Violent Content|Language),A24,"May 20, 2022 wide",,"Horror, Drama, Sci-fi","Jessie Buckley, Rory Kinnear, Paapa Essiedu, Gayle Rankin, Alex Garland, Alex Garland",Alex Garland
e63df618-5e28-4127-aef7-47579d46fd95,https://www.rottentomatoes.com/m/watcher_2022,2022-06-21 17:21:07.104272,87%,67%,1h 36m,R (Language|Some Sexual Material/Nudity|Some Bloody Violence),IFC Films,"Jun 3, 2022 wide",,Mystery & thriller,"Maika Monroe, Karl Glusman, Burn Gorman, Tudor Petrut, Gabriela Butuc, Madalina Anea",Chloe Okuno
18ea6caa-ff65-4b54-9059-5b971e42ad4d,https://www.rottentomatoes.com/m/the_northman,2022-06-21 17:21:07.138278,89%,64%,2h 17m,R (Strong Bloody Violence|Some Sexual Content|Nudity),Focus Features,"Apr 22, 2022 wide","May 13, 2022","Adventure, Action, Mystery & thriller","Alexander Skarsgård, Nicole Kidman, Claes Bang, Ethan Hawke, Anya Taylor-Joy, Gustav Lindh",Robert Eggers
b46fe55d-0bcd-44ab-80c0-420544cdf9e0,https://www.rottentomatoes.com/m/crimes_of_the_future_2022,2022-06-21 17:21:07.175388,79%,49%,1h 47m,R (Some Language|Grisly Images|Graphic Nudity|Strong Violent Content),Neon,"Jun 3, 2022 wide",,"Horror, Drama, Sci-fi","Viggo Mortensen, Léa Seydoux, Kristen Stewart, Scott Speedman, Don McKellar",David Cronenberg
29a88716-3589-460f-8c29-3de12c70fd28,https://www.rottentomatoes.com/m/firestarter_2022,2022-06-21 17:21:07.218559,11%,47%,1h 34m,R (Violent Content),Universal Pictures,"May 13, 2022 wide","May 13, 2022","Horror, Drama, Sci-fi","Zac Efron, Ryan Kiera Armstrong, Sydney Lemmon, Kurtwood Smith, John Beasley, Michael Greyeyes",Keith Thomas
a0cf6403-94e9-4859-ab87-133ccbd34dfe,https://www.rottentomatoes.com/m/the_lost_city,2022-06-21 17:21:07.383192,79%,83%,1h 52m,PG-13 (Partial Nudity|Language|Some Bloody Images|Suggestive Material|Violence),Paramount Pictures,"Mar 25, 2022 wide","May 10, 2022","Adventure, Action","Sandra Bullock, Channing Tatum, Daniel Radcliffe, Da'Vine Joy Randolph, Oscar Nunez, Patti Harrison","Adam Nee , Aaron Nee"
0ed66781-8cf4-4e66-972e-750b31aad69a,https://www.rottentomatoes.com/m/top_gun_maverick,2022-06-21 17:21:07.414526,97%,99%,2h 11m,PG-13 (Some Strong Language|Sequences of Intense Action),Paramount Pictures,"May 27, 2022 wide",,"Action, Adventure","Tom Cruise, Miles Teller, Jennifer Connelly, Jon Hamm, Glen Powell, Lewis Pullman",Joseph Kosinski
e83172f7-24f8-4bce-ba42-ff806450df0c,https://www.rottentomatoes.com/m/sonic_the_hedgehog_2,2022-06-21 17:21:07.458465,70%,96%,2h 2m,PG (Rude Humor|Mild Language|Action|Some Violence),Paramount Pictures,"Apr 8, 2022 wide","May 24, 2022","Comedy, Adventure, Fantasy","James Marsden, Ben Schwartz, Tika Sumpter, Natasha Rothwell, Adam Pally, Shemar Moore",Jeff Fowler
4447c5ef-34da-4be8-b48d-6574961cdca7,https://www.rottentomatoes.com/m/jurassic_world_dominion,2022-06-21 17:21:07.518857,30%,78%,2h 27m,PG-13 (Language|Intense Sequences of Action|Some Violence),Universal Pictures,"Jun 10, 2022 wide",,"Action, Adventure","Chris Pratt, Bryce Dallas Howard, Laura Dern, Jeff Goldblum, Sam Neill, DeWanda Wise",Colin Trevorrow
5b75e84a-e5c0-43b6-a07d-7541cffd6de4,https://www.rottentomatoes.com/m/the_bobs_burgers_movie,2022-06-21 17:21:07.577022,87%,89%,1h 42m,PG-13 (Language|Rude/Suggestive Material),20th Century Studios,"May 27, 2022 wide",,Comedy,"H. Jon Benjamin, John Roberts, Dan Mintz, Eugene Mirman, Kristen Schaal, Kevin Kline","Loren Bouchard , Bernard Derriman"
792e20df-cacf-4e8c-86a9-f13cb6062947,https://www.rottentomatoes.com/m/beba,2022-06-21 17:21:07.625761,86%,,1h 19m,R (Language),NEON,"Jun 24, 2022 limited",,Documentary,"Rebeca Huntt, Rebeca Huntt, Rebeca Huntt, Sofia Geld, Rebeca Huntt, Inuka Bacote-Capiga",Rebeca Huntt
91f0fe3b-16a6-403f-b4ac-57a30af66eff,https://www.rottentomatoes.com/m/the_bad_guys_2022,2022-06-21 17:21:07.654510,88%,93%,1h 40m,PG (Action and Rude Humor),Universal Pictures,"Apr 22, 2022 wide",,"Comedy, Adventure, Animation, Kids & family","Sam Rockwell, Zazie Beetz, Marc Maron, Awkwafina, Craig Robinson, Anthony Ramos",Pierre Perifel
afb161bc-8383-48f5-8fa6-66d64969db75,https://www.rottentomatoes.com/m/spiderhead,2022-06-21 17:21:07.735013,44%,32%,1h 47m,R (Language|Violent Content|Sexual Content),,,"Jun 17, 2022","Crime, Drama, Action","Chris Hemsworth, Miles Teller, Jurnee Smollett-Bell, Mark Paguio, Tess Haubrich, Joseph Kosinski",Joseph Kosinski
7c1d081e-5eee-47a9-9c3a-d6a21f56485b,https://www.rottentomatoes.com/m/hustle_2022,2022-06-21 17:21:07.816597,92%,92%,1h 58m,R (Language),Netflix,"Jun 3, 2022 limited","Jun 8, 2022",Drama,"Adam Sandler, Juancho Hernangomez, Queen Latifah, Ben Foster, Robert Duvall, Jaleel White",Jeremiah Zagar
0711adc9-d99d-4635-af87-055030311b79,https://www.rottentomatoes.com/m/everything_everywhere_all_at_once,2022-06-21 17:21:07.846916,95%,89%,2h 12m,R (Sexual Material|Language|Some Violence),A24,"Apr 8, 2022 wide","Jun 7, 2022","Comedy, Adventure, Fantasy","Michelle Yeoh, Stephanie Hsu, Ke Huy Quan, James Hong, Jamie Lee Curtis, Jenny Slate","Dan Kwan , Daniel Scheinert"
de9b481b-a846-4fde-96a0-b4f3ad2267b9,https://www.rottentomatoes.com/m/terror_on_the_prairie,2022-06-21 17:21:07.922046,,88%,1h 47m,,,,"Jun 14, 2022","Western, Action","Gina Carano, Donald Cerrone, Nick Searcy, Tyler Fischer, Heath Freeman, Gabriel-Kane Day-Lewis",Michael Polish
6ca946c5-f76d-4a8a-a4f5-2926c764cfb7,https://www.rottentomatoes.com/m/fruits_basket_prelude,2022-06-21 17:21:08.002644,,,1h 28m,,Crunchyroll,"Jun 25, 2022 limited",,"Romance, Anime, Fantasy","Miyuki Sawashiro, Yoshimasa Hosoya, Manaka Iwami, Nobunaga Shimazaki, Yuuma Uchida, Yoshihide Ibata",Yoshihide Ibata
1cf71461-4157-4e3c-b9d7-a19edee52453,https://www.rottentomatoes.com/m/the_magical_craftsmanship_of_suzhou,2022-06-21 17:21:08.043809,,,1h 31m,,China Lion Film Distribution,"Jun 24, 2022 limited",,Documentary,"Sun Zengtian, Li Hong",Sun Zengtian
dbe35dc9-e09e-447b-a873-4792a9cb80ed,https://www.rottentomatoes.com/m/trevor_the_musical,2022-06-21 17:21:08.100125,,,,,,,"Jun 24, 2022","Musical, Drama","Holden William Hagelberger, Mark Aguirre, Aaron Alcaraz, Ava Briglia, Sammy Dell, Tyler Joseph Gay",Robin Abrams
fa9855c9-a7a6-4fa9-b722-99e657bd3aef,https://www.rottentomatoes.com/m/downton_abbey_a_new_era,2022-06-21 17:21:08.140837,86%,97%,2h 5m,PG (Thematic Elements|Some Suggestive References|Language),Focus Features,"May 20, 2022 wide","Jun 24, 2022",Drama,"Hugh Bonneville, Laura Carmichael, Jim Carter, Raquel Cassidy, Brendan Coyle, Michelle Dockery",Simon Curtis
9b8d6fc7-2920-417f-9e88-7a27a9089aaa,https://www.rottentomatoes.com/m/rise_2022,2022-06-21 17:21:08.200286,,,,PG (Brief Language|Thematic Elements),,,"Jun 24, 2022","Biography, Drama","Dayo Okeniyi, Yetide Badaki, Uche Agada, Manish Dayal, Taylor Nichols, Ral Agada",Akin Omotoso
95d87664-d31f-43ba-b706-ecdf8c58a28b,https://www.rottentomatoes.com/m/a_man_of_integrity,2022-06-21 17:21:08.348448,100%,79%,1h 57m,,Big World Pictures,"Jun 17, 2022 limited",,Drama,"Nasim Adabi, Zhila Shahi, Reza Akhlaghirad, Soudabeh Beizaee, Zeinab Shabani, Missagh Zareh",Mohammad Rasoulof
e446d404-69c2-4c52-88ce-fae2d84b284d,https://www.rottentomatoes.com/m/would_it_kill_you_to_laugh,2022-06-21 17:21:08.378804,,,1h 0m,,,,"Jun 24, 2022",Comedy,"Kate Berlant, John Early, Meredith Vieira, Andrew DeYoung, Andrew DeYoung, Kate Berlant",Andrew DeYoung
