id,url,created_date,critic_score,audience_score,runtime,MPAA_rating,studio,theater_release_date,DVD_release_date,list_of_genres,abridged_list_of_cast,abridged_list_of_directors
d3cb0a22-66c3-4f35-8217-5e05b97f8c76,https://www.rottentomatoes.com/m/almost_famous,2022-07-14 19:53:39.318796,89%,92%,2h 2m,R (Drug Content|Brief Nudity|Language),DreamWorks SKG,"Sep 15, 2000 wide","May 22, 2006",Music,"Billy Crudup, Frances McDormand, Kate Hudson, Jason Lee, Patrick Fugit, Anna Paquin",Cameron Crowe
b8856c35-eb16-44f2-9244-c993afad5d11,https://www.rottentomatoes.com/m/nurse_betty,2022-07-14 19:53:40.836036,83%,45%,1h 48m,R,USA Films,"Sep 8, 2000 wide","May 23, 2006",Comedy,"Morgan Freeman, Renée Zellweger, Chris Rock, Greg Kinnear, Aaron Eckhart, Tia Texada",Neil LaBute
e1849337-008b-4fc1-a6e2-03132d768653,https://www.rottentomatoes.com/m/waking_the_dead,2022-07-14 19:53:41.733622,51%,78%,1h 45m,R (Sexuality|Language),USA Films,"Mar 24, 2000 wide","Apr 12, 2005",Drama,"Billy Crudup, Jennifer Connelly, Molly Parker, Janet McTeer, Paul Hipp, Sandra Oh",Keith Gordon
bc63bcad-ccb9-478b-87bc-d449441573a8,https://www.rottentomatoes.com/m/golden_bowl,2022-07-14 19:53:41.996391,54%,39%,2h 14m,R (Sex Scene),Lionsgate Films,"Apr 27, 2001 wide","Nov 6, 2001",Drama,"Uma Thurman, Jeremy Northam, Kate Beckinsale, Nick Nolte, Anjelica Huston, James Fox",James Ivory
8ef6a787-aa0d-4dc0-ab7d-52adb11e28cb,https://www.rottentomatoes.com/m/joe_dirt,2022-07-14 19:53:42.029933,9%,63%,1h 30m,PG-13 (Language|Crude Humor|Sex-Related Humor),"Sony Pictures Entertainment, Columbia Pictures","Apr 11, 2001 wide","Nov 29, 2005",Comedy,"David Spade, Dennis Miller, Brittany Daniel, Kid Rock, Adam Beach, Erik Per Sullivan",Dennie Gordon
0ec17016-d1b1-4fea-a745-93f66733b838,https://www.rottentomatoes.com/m/about_adam,2022-07-14 19:53:42.768887,69%,47%,1h 45m,R (Sexuality|Language),Miramax Films,"Jan 28, 2000 original","Feb 5, 2002","Comedy, Romance","Stuart Townsend, Kate Hudson, Frances O'Connor, Charlotte Bradley, Rosaleen Linehan, Tommy Tiernan",Gerard Stembridge
6a007037-7efe-448e-8a74-8095666e3966,https://www.rottentomatoes.com/m/eight_legged_freaks,2022-07-14 19:53:42.932033,47%,33%,1h 39m,PG-13 (Language|Brief Sexuality|Sci-Fi Violence),Warner Bros. Pictures,"Jul 17, 2002 wide","Nov 3, 2009",Comedy,"David Arquette, Kari Wuhrer, Scott Terra, Scarlett Johansson, Doug E. Doug, Rick Overton",Ellory Elkayem
17fce750-4a0b-4c34-94c4-e687266aabec,https://www.rottentomatoes.com/m/1095414-whatever_it_takes,2022-07-14 19:53:43.878768,16%,45%,1h 34m,PG-13 (Thematic Elements|Sexual Content|Language),"Sony Pictures Entertainment, Columbia Pictures","Mar 31, 2000 wide","Aug 1, 2000",Comedy,"Shane West, Marla Sokoloff, Jodi Lyn O'Keefe, James Franco, Aaron Paul, Richard Schiff",David Raynr
8327c43f-2685-4e8d-834e-fc93f489b423,https://www.rottentomatoes.com/m/1112951-time_machine,2022-07-14 19:53:44.276375,28%,37%,1h 36m,PG-13 (Intense Action Violence),"Warner Bros. Pictures, DreamWorks SKG","Mar 8, 2002 wide","Jul 23, 2002","Action, Adventure, Fantasy","Guy Pearce, Samantha Mumba, Mark Addy, Sienna Guillory, Phyllida Law, Alan Young",Simon Wells
ce278e18-c466-45fa-a60b-248b63f1f8bd,https://www.rottentomatoes.com/m/exorcist_the_beginning,2022-07-14 19:53:44.410090,10%,27%,1h 54m,R (Gore|Disturbing Images and Rituals|Language|Some Sexual Dialogue|Strong Violence),Warner Bros. Pictures,"Aug 20, 2004 wide","Mar 1, 2005",Horror,"Stellan Skarsgård, James D'Arcy, Izabella Scorupco, Remy Sweeney, Julian Wadham, Andrew French",Renny Harlin
9466fc20-9f81-4107-b197-7718d0c76901,https://www.rottentomatoes.com/m/darkness_falls,2022-07-14 19:53:44.882613,9%,34%,1h 25m,PG-13 (Horror Images|Brief Language|Terror Images),Columbia Pictures,"Jan 24, 2003 wide","Apr 22, 2003",Horror,"Chaney Kley, Emma Caulfield, Lee Cormie, Grant Piro, Sullivan Stapleton, Steve Mouzakis",Jonathan Liebesman
9d848b07-bee1-4aa0-8efa-2a0821972842,https://www.rottentomatoes.com/m/the_taste_of_others,2022-07-14 19:53:45.631917,98%,82%,1h 52m,R,"Offline Releasing, Artistic License, Miramax Films","Mar 1, 2000 original","Feb 26, 2002",Comedy,"Jean-Pierre Bacri, Anne Alvaro, Agnès Jaoui, Gérard Lanvin, Alain Chabat, Brigitte Catillon",Agnès Jaoui
6e472d62-870f-47f8-97bc-b403104ac420,https://www.rottentomatoes.com/m/mindhunters,2022-07-14 19:53:45.762931,24%,57%,1h 46m,R (Sexual Content|Language|Strong Graphic Images|Violence),Miramax Films,"May 13, 2005 wide","Sep 20, 2005","Drama, Crime, Mystery & thriller","LL Cool J, Jonny Lee Miller, Kathryn Morris, Patricia Velasquez, Clifton Collins Jr., Eion Bailey",Renny Harlin
707aa7b3-d32a-479e-9375-ee955024f301,https://www.rottentomatoes.com/m/dinner_rush,2022-07-14 19:53:45.996491,91%,85%,1h 38m,R (Sexuality|Some Violence|Language),,"Sep 28, 2000 wide","Jan 21, 2003","Comedy, Drama","Danny Aiello, Edoardo Ballerini, Vivian Wu, Michael McGlone, Kirk Acevedo, Sandra Bernhard",Bob Giraldi
ef869c04-73d0-47e7-9324-a7b48903cc91,https://www.rottentomatoes.com/m/hearts_in_atlantis,2022-07-14 19:53:47.225301,49%,64%,1h 41m,PG-13 (Violence|Thematic Elements),Warner Bros. Pictures,"Sep 28, 2001 wide","Feb 12, 2002",Drama,"Anthony Hopkins, Anton Yelchin, Hope Davis, Mika Boorem, David Morse, Alan Tudyk",Scott Hicks
1294527a-d997-447c-8292-79fcac62f13a,https://www.rottentomatoes.com/m/resident_evil_apocalypse,2022-07-14 19:53:47.482146,19%,60%,1h 33m,R (Nonstop Violence|Language|Some Nudity),Sony Pictures Entertainment,"Sep 10, 2004 original","Apr 19, 2005","Horror, Action","Milla Jovovich, Sienna Guillory, Oded Fehr, Thomas Kretschmann, Sophie Vavasseur, Razaaq Adoti",Alexander Witt
be5d56a3-accb-424d-b279-63cd5c57b1b2,https://www.rottentomatoes.com/m/harrisons_flowers,2022-07-14 19:53:49.730702,49%,76%,2h 10m,R (Gruesome Images|Brief Drug Use|Pervasive Language|Strong War Violence),Universal Focus,"Mar 15, 2002 wide","Dec 1, 2005",Drama,"Andie MacDowell, David Strathairn, Elias Koteas, Adrien Brody, Brendan Gleeson, Alun Armstrong",Élie Chouraqui
bb01c716-4018-451a-861e-24eacb3ff0fc,https://www.rottentomatoes.com/m/1152019-good_night_and_good_luck,2022-07-14 19:53:50.080571,93%,83%,1h 33m,PG (Mild Thematic Elements|Brief Language),Warner Independent,"Oct 7, 2005 original","Mar 14, 2006",Biography,"David Strathairn, Patricia Clarkson, George Clooney, Jeff Daniels, Robert Downey Jr., Frank Langella",George Clooney
0a9b1122-ced1-40e8-87de-97c5a35384f9,https://www.rottentomatoes.com/m/american_haunting,2022-07-14 19:53:50.448858,14%,36%,1h 30m,PG-13 (Thematic Material|Intense Terror Sequences),Freestyle Releasing,"May 5, 2006 wide","Oct 24, 2006",Horror,"Donald Sutherland, Sissy Spacek, Rachel Hurd-Wood, James D'Arcy, Matthew Marsh, Thom Fell",Courtney Solomon
60bec739-4e50-46fb-80d7-7f1bb090b358,https://www.rottentomatoes.com/m/munich,2022-07-14 19:53:50.771860,78%,83%,2h 44m,R (Nudity|Language|Some Sexual Content|Strong Graphic Violence),DreamWorks SKG,"Jan 6, 2006 wide","May 9, 2006",Drama,"Eric Bana, Daniel Craig, Geoffrey Rush, Ciarán Hinds, Mathieu Kassovitz, Hanns Zischler",Steven Spielberg
39be4dc5-7921-4b43-82ee-e258a0d0f7b4,https://www.rottentomatoes.com/m/sophie_scholl_die_letzten_tage,2022-07-14 19:53:51.651569,87%,88%,1h 57m,,,,"Nov 14, 2006","History, Drama","Julia Jentsch, Fabian Hinrichs, Alexander Held, Johanna Gastdorf, André Hennicke, Florian Stetter",Marc Rothemund
44ab3bb5-dc76-44bb-bcad-992e2b5e1231,https://www.rottentomatoes.com/m/master_and_commander_the_far_side_of_the_world,2022-07-14 19:53:52.427308,85%,80%,2h 19m,PG-13,20th Century Fox,"Nov 14, 2003 wide","Apr 20, 2004","Adventure, Drama, War","Russell Crowe, Paul Bettany, Billy Boyd, James D'Arcy, Lee Ingleby, George Innes",Peter Weir
5c524233-de93-4f28-bd86-15eac8e3b544,https://www.rottentomatoes.com/m/holes,2022-07-14 19:53:52.696786,78%,76%,1h 58m,PG (Some Thematic Elements|Mild Language|Violence),Walt Disney Pictures,"Apr 18, 2003 wide","Jun 4, 2006",Adventure,"Sigourney Weaver, Jon Voight, Patricia Arquette, Tim Blake Nelson, Dulé Hill, Shia LaBeouf",Andrew Davis
b9565819-c05e-42a2-a6d5-533bddbec310,https://www.rottentomatoes.com/m/house_of_mirth,2022-07-14 19:53:52.946376,82%,72%,2h 23m,PG (Thematic Material),Sony Pictures Classics,"Sep 23, 2000 original","May 29, 2001","History, Drama","Gillian Anderson, Eric Stoltz, Dan Aykroyd, Eleanor Bron, Terry Kinney, Anthony LaPaglia",Terence Davies
4f6b44e3-543c-4c84-860b-7fdf8c333091,https://www.rottentomatoes.com/m/lizzie_mcguire_movie,2022-07-14 19:53:53.596778,40%,49%,1h 33m,PG (Mild Thematic Elements),Walt Disney Pictures,"May 2, 2003 wide","Feb 5, 2006",Comedy,"Hilary Duff, Adam Lamberg, Robert Carradine, Hallie Todd, Jake Thomas, Yani Gellman",Jim Fall
c5a4485f-ad34-44b2-9125-523b87920707,https://www.rottentomatoes.com/m/agent_cody_banks,2022-07-14 19:53:54.165504,38%,32%,1h 42m,PG (Mild Language|Action/Violence|Some Sensual Content),Metro-Goldwyn-Mayer,"Mar 14, 2003 wide","Jun 8, 2004","Adventure, Comedy","Frankie Muniz, Hilary Duff, Angie Harmon, Keith David, Cynthia Stevenson, Arnold Vosloo",Harald Zwart
7dd03212-422a-45e5-a9c4-d363616884cd,https://www.rottentomatoes.com/m/good_shepherd,2022-07-14 19:53:55.087935,55%,51%,2h 48m,R (Sexuality|Language|Some Violence),Universal Pictures,"Dec 22, 2006 wide","Apr 3, 2007",Drama,"Matt Damon, Angelina Jolie, Alec Baldwin, Tammy Blanchard, Billy Crudup, Robert De Niro",Robert De Niro
3f1e76c0-de67-41af-b406-c2ddc758e273,https://www.rottentomatoes.com/m/boogeyman,2022-07-14 19:53:55.626734,14%,21%,1h 26m,PG-13 (Partial Nudity|Intense Sequence of Horror|Terror|Violence),Sony Pictures Entertainment,"Feb 4, 2005 wide","May 31, 2005",Horror,"Barry Watson, Emily Deschanel, Skye McCole Bartusiak, Victoria Mussett, Andrew Glover, Lucy Lawless",Stephen Kay
b5437a70-8f8c-45bd-b7bc-5c8fffe83e10,https://www.rottentomatoes.com/m/hollywoodland,2022-07-14 19:53:56.507009,68%,48%,2h 6m,R (Sexual Content|Language|Some Violence),Focus Features,"Sep 8, 2006 wide","Feb 6, 2007","Drama, Crime, Mystery & thriller","Adrien Brody, Ben Affleck, Diane Lane, Bob Hoskins, Robin Tunney, Joe Spano",Allen Coulter
d105d9e3-62b9-442f-8dc8-fca9724f6cba,https://www.rottentomatoes.com/m/bread_and_tulips,2022-07-14 19:53:57.978978,71%,86%,1h 54m,PG-13 (Some Sensuality|Drug References|Brief Language),First Look,"Jul 27, 2001 wide","Mar 26, 2002","Comedy, Romance","Licia Maglietta, Bruno Ganz, Giuseppe Battiston, Marina Massironi, Antonio Catania, Felice Andreasi",Silvio Soldini
2db485ed-7479-4ffe-8807-da0f61eda315,https://www.rottentomatoes.com/m/10007598-cocaine_cowboys,2022-07-14 19:53:58.139033,69%,79%,1h 56m,R (Language|Gruesome Violent Images|Pervasive Drug Content),Magnolia Films,"Oct 27, 2006 limited","Jan 23, 2007",Documentary,"Kelly Hughes, Alfred Spellman, Jenna Reeves, Billy Corben, Billy Corben, Bruno Del Granado",Billy Corben
971e8763-2440-4e22-ad71-4e6cd7a487f2,https://www.rottentomatoes.com/m/1158195-marie_antoinette,2022-07-14 19:53:58.459253,57%,56%,2h 3m,PG-13 (Partial Nudity|Innuendo|Sexual Content),Columbia Pictures,"Oct 13, 2006 wide","Feb 13, 2007","History, Drama","Kirsten Dunst, Jason Schwartzman, Judy Davis, Rip Torn, Rose Byrne, Asia Argento",Sofia Coppola
010484cb-c28b-469f-a9c3-bee87ccb74f5,https://www.rottentomatoes.com/m/american_hardcore,2022-07-14 19:53:59.190613,72%,78%,1h 40m,R (Sex and Drug References|Pervasive Language),,"Jan 20, 2006 original","Feb 20, 2007","Documentary, Music","Lucky Lehrer, Vic Bondi, Joe Keithley, Keith Morris, Angie Sciarappa, Nancy Barile",Paul Rachman
485e0a91-2eeb-4d77-a134-74be3d0c9464,https://www.rottentomatoes.com/m/talk_to_me,2022-07-14 19:53:59.611476,83%,77%,1h 58m,R (Some Sexual Content|Pervasive Language),Focus Features,"Jul 13, 2007 limited","Oct 30, 2007",Biography,"Don Cheadle, Chiwetel Ejiofor, Taraji P. Henson, Martin Sheen, Cedric the Entertainer, Peter MacNeill",Kasi Lemmons
30cd467d-86d1-477f-9a19-4159ed05ac3b,https://www.rottentomatoes.com/m/flags_of_our_fathers,2022-07-14 19:53:59.921057,72%,69%,2h 12m,R (Language|Graphic War Violence & Carnage),DreamWorks SKG,"Oct 20, 2006 wide","Feb 6, 2007",War,"Ryan Phillippe, Jesse Bradford, Adam Beach, John Benjamin Hickey, John Slattery, Barry Pepper",Clint Eastwood
a866fdc5-3170-4de9-9db5-84226bb29d7a,https://www.rottentomatoes.com/m/planet_bboy,2022-07-14 19:54:00.091489,83%,91%,1h 41m,,,,"Nov 11, 2008",Documentary,Benson Lee,Benson Lee
91f294d9-7f8b-44d0-b61b-a10f31730834,https://www.rottentomatoes.com/m/inside_deep_throat,2022-07-14 19:54:00.303027,82%,67%,1h 30m,NC-17 (Explicit Sexual Content),Universal Pictures,"Feb 11, 2005 wide","Sep 20, 2005",Documentary,"Gerard Damiano, Erica Jong, Norman Mailer, Harry Reems, Gore Vidal, John Waters","Fenton Bailey , Randy Barbato"
1ef81bbc-fddc-423a-970b-45c61b083755,https://www.rottentomatoes.com/m/sky_captain,2022-07-14 19:54:01.768282,70%,46%,1h 47m,PG (Stylized Sci-Fi Violence),Paramount Pictures,"Sep 17, 2004 wide","Jan 25, 2005","Adventure, Fantasy, Action","Gwyneth Paltrow, Jude Law, Angelina Jolie, Giovanni Ribisi, Michael Gambon, Bai Ling",Kerry Conran
95e38092-892d-482a-9664-4c0046a1418a,https://www.rottentomatoes.com/m/get_over_it,2022-07-14 19:54:01.842632,43%,51%,1h 22m,PG-13 (Language|Drinking|Some Crude/Sexual Humor),Miramax Films,"Mar 9, 2001 wide","Feb 5, 2002",Comedy,"Kirsten Dunst, Ben Foster, Melissa Sagemiller, Sisqó, Shane West, Colin Hanks",Tommy O'Haver
c71a56ef-27f8-46c1-9d46-8982a8198f00,https://www.rottentomatoes.com/m/1193377-chapter_27,2022-07-14 19:54:03.425202,18%,37%,1h 24m,R (Some Sexual Content|Language),Peace Arch Entertainment Group Inc.,"Apr 4, 2008 limited","Sep 30, 2008",Drama,"Jared Leto, Lindsay Lohan, Judah Friedlander, Ursula Abbott, Jeane Fournier, Brian O'Neill",Jarrett Schaefer
9b552941-c958-4a80-a9a1-b8513c5767f6,https://www.rottentomatoes.com/m/howls_moving_castle,2022-07-14 19:54:03.875530,87%,93%,1h 59m,PG,Buena Vista Pictures,"Jun 10, 2005 wide","Feb 14, 2006","Fantasy, Anime","Jean Simmons, Christian Bale, Lauren Bacall, Blythe Danner, Emily Mortimer, Josh Hutcherson",Hayao Miyazaki
fdde0882-3fe6-493f-b3ad-9f6b64059974,https://www.rottentomatoes.com/m/the_spongebob_squarepants_movie,2022-07-14 19:54:04.778526,68%,78%,1h 23m,PG (Some Mild Crude Humor),Paramount Pictures,"Nov 19, 2004 wide","Mar 1, 2005","Comedy, Adventure","Tom Kenny, Bill Fagerbakke, Clancy Brown, Rodger Bumpass, Mr. Lawrence, Alec Baldwin","Stephen Hillenburg , Mark Osborne"
e361f884-2cdd-4d9e-8e4d-16b14db3a953,https://www.rottentomatoes.com/m/1114093-gabriela,2022-07-14 19:54:05.791270,,70%,1h 33m,R (Language|Some Sexuality),,"Feb 14, 2001 original",,Romance,"Jaime Gomez, Seidy Lopez, Zach Galligan, Troy Winbush, Lupe Ontiveros, Stacy Haiduk",Vincent Jay Miller
b4b5ff1c-ab40-4dfc-98df-290a00b5aca6,https://www.rottentomatoes.com/m/van_helsing,2022-07-14 19:54:06.442953,24%,57%,2h 12m,PG-13 (Nonstop Creature Action Viol.|Frightening Images|Sensuality),Universal Pictures,"May 3, 2004 wide","Oct 19, 2004","Fantasy, Adventure, Action","Hugh Jackman, Kate Beckinsale, Richard Roxburgh, David Wenham, Shuler Hensley, Elena Anaya",Stephen Sommers
f1f87308-1ccb-4a03-ad71-d5e8eea196b3,https://www.rottentomatoes.com/m/around_the_world_in_80_days,2022-07-14 19:54:06.659166,32%,34%,1h 59m,PG (Mild Language|Action/Violence|Some Crude Humor),Buena Vista Pictures,"Jun 16, 2004 wide","Aug 25, 2004","Adventure, Comedy","Jackie Chan, Steve Coogan, Cécile De France, Jim Broadbent, Ewen Bremner, Ian McNeice",Frank Coraci
